act,count
"(f),376AB,354(A)(2),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),376(3),344,366(A) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(1),354(A),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),366,376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(i)(n),363,344,366 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(2),341 INDIAN MOTOR VEHICLES ACT, 1988",1
"(n),366(A),344 CHILD MARRIAGE RESTRAINT ACT",1
"(i)(n),376(3),450 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(II),5(i),6,4 IPC 1860",1
"(i),376,511 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(i)(n),417 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(i),504,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(f),376(2)(h),376(2)(n),417 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(k),376(2)(f),376(2)(n) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(W) (I) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(II),5(p),6 IPC 1860",1
"(I),376(2)(i)(n) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(J),376(2)(n),201,376(3),366(A),342 INFORMATION TECHNOLOGY ACT 2008",1
"(r),3(1)(s),3(1)(f),3(1)(g) IPC 1860",1
"(1B) (a) KARNATAKA POLICE ACT, 1963",1
"(n),376(2)(f),376(2)(i)(n),342,366(A) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(f),376(2)(n),376AB,323 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(1B) (a),30 IPC 1860",1
"(c),3(1)(r),3(1)(s),3(1)(g) IPC 1860",1
"(n),420,366 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(c),3(1) (r),3(1) (s),3(1) (W) (I) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(c),3(1) (s),3(1) (r) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
(za)(A) IPC 1860,1
"(i)(n),366,376AB PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),376(3),506,376(2)(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(10),3(1)(x) IPC 1860",1
"(11),3(1)(xi) IPC 1860",1
"(II),5,5(L),8,6 The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(A),25(1)(A) ARMS ACT, 1959",1
"(a),25(1-B)(c),25(3),25(I),29(b),30 INDIAN ARMS ACT, 1959",1
"(a),34 IPC 1860",1
"(r),3(1)(c),3(1)(s),3 (2)(v) IPC 1860",1
"(n),376(2)(J),376(2)(f),376(3) Juvenile Justice (Care and Protection of Children) Act, 2015",1
"(a),32(1),34 IPC 1860",1
"(ii) (B) Juvenile Justice (Care and Protection of Children) Act, 2015",1
"(M),376(2)(n) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(n),417,504,34 The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(r),3(1)(s),3(1)(w)(i)(ii),3(2) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(II),6,5(l) IPC 1860",1
"(n),363,366 A Prohibition of Child Marriage Act 2006",1
"(1) (w) (ii),3(2)(va) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(r) (s),3(1)(f),3(1)(g),3(1)(r),3(2)(va),3(1)(s) IPC 1860",1
"(ii) A,29 IPC 1860",1
"(10),3(1)(c),3(1)(s),3(1)(r) IPC 1860",1
"(10),3(1)(c),3(1)(s),3(1)(r) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(10),3(1)(w),3(1)(c),3(1)(s),3(1)(r) IPC 1860",1
"(c),3(1)(r),3(1)(s),3(1)(w)(1) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(V) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(r),3(1)(s),3(2)(va) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"-ii,286,337,338,34 EXPLOSIVE SUBSTANCES ACT, 1908",1
"A,376(2)(n),506 INFORMATION TECHNOLOGY ACT 2008",1
"(B),67(E) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(II),5(L),6,14,5(n),21 IPC 1860",1
"(f),323,34 INFORMATION TECHNOLOGY ACT 2008",1
"(II),8 Juvenile Justice (Care and Protection of Children) Act, 2015",1
"(n),366,354 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(II),5(L),6 Juvenile Justice (Care and Protection of Children) Act, 2015",1
"(n),366(A) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(V),0,3(1)(s),3(1)(r),3(2)(va) IPC 1860",1
"(f),376(2)(J),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(A) PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",1
"(r),3(2)(va),3(1)(f),3(1)(s) IPC 1860",1
"(n),366(A),344 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(w),3(1)(i) IPC 1860",1
"(r),3(1)(s),3(2)(V),3(1)(c) IPC 1860",1
"II,20(a) (1) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",1
"(g),10 IPC 1860",1
"(r),3(1)(t) IPC 1860",1
"(lll),146 IPC 1860",1
"(w),3(1)(s),3(1)(t) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(f),504,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(va),3(1)(w)(1),0 IPC 1860",1
"(r),3(1)(w)(i)(ii),3(2)(va) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(iii),34 DOWRY PROHIBITION ACT, 1961",1
"(II),5(L),6,5(l),5(n) IPC 1860",1
"(r),3(1)(s),3(1)(w)(i),3(2)(v-a) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(f),376(2)(k),376(2)(n),376(3),376AB PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),366,343,34,35,376(2)(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(c),6 IPC 1860",1
"(i),504,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),384,323,504,506 INFORMATION TECHNOLOGY ACT 2008",1
"(i),354(D)(1),386,506,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"B,376(F) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(c),5(1),6 IPC 1860",1
"(n),420,34 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(w)(i)(ii),3(2)(V),3(2)(v-a) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(w)(i)(ii),3(2)(va),3 (2)(v) IMMORAL TRAFFIC PREVENTION ACT, 1956",1
"(r),3(1) (s),3(1)(c) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(x) ARMS ACT, 1959",1
"(r),3(1)(s),3(1)(w)(i)(ii) INDIAN ARMS ACT, 1959",1
"(II),5(L),5(Q),6 IPC 1860",1
"(i),3(1)(w) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(2) INDIAN ARMS ACT, 1959",1
"(a),3(1)(e),3(1)(r),3(2)(va),3(2)(vii) IPC 1860",1
"(f),363,376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(2),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(V),0,0,3(2)(va) IPC 1860",1
"(f),376AB PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(r),3(1)(s),3(1)(w) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(I),376(2)(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(r)(s)(2)(va),3(1)(f),3(1)(g) IPC 1860",1
"(x),3(1)(xi),3(1)(xii) IPC 1860",1
"(i)(n),376(F),376(2),376(N),376(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(i),342,376AB PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(g),3(1)(p),3(1)(za),3(1)(zb) IPC 1860",1
"(n),449,376(3),376(2)(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
-ii CEA (Measures Relating to Safety & Electric Supply) Regulations 2010,1
"(n),342 CHILD MARRIAGE RESTRAINT ACT",1
(a) CEA (Measures Relating to Safety & Electric Supply) Regulations 2010,1
"(n),376(3),417,34 Prohibition of Child Marriage Act 2006",1
"(e),135(1)(a) Central Electricity Authority Regulations 2010",1
"(b)(d),135(1)(a) IPC 1860",1
"(5),370 (6),370 (7),506,34,328,342,363,114,366(A) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),376,363,114,149 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(m),3(1)(n),3(1)(r),3(1)(s) IPC 1860",1
"(r),3(1)(s),3(1)(r)(s)(2)(va) IPC 1860",1
"(I),376(2)(J),376(2)(n),376(2)(h) Prohibition of Child Marriage Act 2006",1
"(r),3(1)(s),3(1)(w),3(1)(r)(s)(2)(va),3(1)(w)(i)(ii) IPC 1860",1
"(n),344,366,212,202,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(1),7,12,10 IPC 1860",1
"(12),3(1)(11),3(1)(xii),3(1)(xi),3(i)(ii),3(1)(w),3(2)(V) IPC 1860",1
"B,503,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(r) (s),3(1)(w)(i)(ii) IPC 1860",1
"(va) INDIAN MOTOR VEHICLES ACT, 1988",1
"(10),3(1)(w),3(2)(v-a),3(2)(V),3(1)(s),3(1)(r),3(2)3 IPC 1860",1
"(c),3(1) (r) IPC 1860",1
"-ii,34 CEA (Measures Relating to Safety & Electric Supply) Regulations 2010",1
"(n),343,363,366(A) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(1) (2),4 INDIAN MOTOR VEHICLES ACT, 1988",1
"(r),3(1) (s),3(2)(v-a) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(n),344 Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(r),3(1) (s),3(1) (W) (I),3(2)(5a) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(n),366,344 The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(a),150,138 IPC 1860",1
"(i) (ii) (A),20(ii) (a) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",1
"(iii),354A(1)(v),354(D),509 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(s),3(1)(r),3(2)(va) Juvenile Justice (Care and Protection of Children) Act, 2015",1
"(a),0,32,34 IPC 1860",1
"(s),3(1)(r),3(1)(w)(1),3(2)(va) IPC 1860",1
"(va),3(1)(r),3(1)(s),3(1)(w)(1) IPC 1860",1
"(B),505(1)(C),505(2) PREVENTION OF INSULTS TO NATIONAL HONOUR ACT, 1964",1
"(n),344,366 THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",1
"(r),3(1)(s),0,3(2)(V),3(2)(va) Juvenile Justice (Care and Protection of Children) Act, 2015",1
"(r),3(1)(s),3(2)(va),3(1)(w)(1),3(2)(V) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(w)(i)(ii),3(1)(r)(s)(2)(va),3 (2)(v) IPC 1860",1
"(r),3(1)(s),3(2)(va),3(1)(w)(1) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(n),350 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(10)(11),3(1)(xi) IPC 1860",1
"(n),506,312,376(2)(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(r),3(1)(s),3(1)(c),3(1)(w)(1) IPC 1860",1
"(i)(n),506,509 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(r),3(2)(V),3(1)(l),3(1)(w)(i)(ii) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(I),376AB PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(va),3(1)(w)(1),3(1)(r),3(1)(s) IPC 1860",1
"(1) (f),13(1)(a) IPC 1860",1
"(n),366,376(3),342 Juvenile Justice (Care and Protection of Children) Act, 2015",1
"(O),11(1) (D) IPC 1860",1
"(O),11(1) (D) INDIAN MOTOR VEHICLES ACT, 1988",1
"(r) (s),3(1)(w)(i),3(2)(va),3 (2)(v),3(1)(r)(s)(2)(va) IPC 1860",1
"(J),376(2)(f),376AB,376DB,506 The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(f),376(2)(I),376AB PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),344,366 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(10),3(1)(s),3(1)(r) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(n),366,344,363,366(A),376(2)(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(a)(m) KARNATAKA POLICE ACT, 1963",1
"(r)(s),3(1) (f) IPC 1860",1
"(v-a),3(1)(e) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(r),3(1)(s),3(1) (F),3(2)(va) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(r) (s),3(1)(r)(s)(2)(va) IPC 1860",1
"(r),3(1)(s),3(1)(w)(1),3(2)(va) IPC 1860",1
"(f),376(2)(h),376(2)(I),376(2)(J),376(2)(k),376(2)(n),34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(II),5(l),5(m),5(n),5(Q) Prohibition of Child Marriage Act 2006",1
"(a),15,32(1),38 IPC 1860",1
"(II),5(L),6,17 Prohibition of Child Marriage Act 2006",1
(2) INDIAN ELECTRICITY ACT (AMEND.) 2003,1
"(vii),3 (2)(v) IPC 1860",1
"(r),3(1)(s),3(1)(f),3(1)(g),3(2)(va) IPC 1860",1
"(n),376(2)(L) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(II),5(K),5(L),6 IPC 1860",1
"(n),363,366(A) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(w),3(2)(va) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(B),505(2) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(u),3(1)(v) INFORMATION TECHNOLOGY ACT 2000",1
"(n),118 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(i) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(n),506,450 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
-ii Indian Electricity Act 1956,1
"(2) (b),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),468,376(2)(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(5a),3(1) (W) (I),3(1) (r) IPC 1860",1
"(W) (I),3(1) (r) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(v-a),3(1)(f),3(1)(r) IPC 1860",1
"(n),34,363,366(A),343 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(I),344,366,376(3) THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",1
"(r),3(1)(s),3(1)(g),3(1)(f),3(2)(va) IPC 1860",1
"(r),3(1)(s),0,3(2)(va) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(vii),3(1)(r)(s),3(1) (W) (I) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
"(f),366(A),366 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"B,341,506,511,376 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(II),5(L),5(p),6(1) CHILD MARRIAGE RESTRAINT ACT",1
"(r)(s),3(1)(w)(i),3(2)(v-a) IPC 1860",1
"(r)(s),3(1)(w)(i),3(2)(v-a),3(2)(V) IPC 1860",1
"(C) ESSENTIAL COMMODITIES ACT, 1955",1
"(10),3(1)(s),3(1)(r),3(2)(5) IPC 1860",1
"(b),9B(2),9B(3)(b) EXPLOSIVE SUBSTANCES ACT, 1908",1
"(r),3(1)(s),3(1)(w)(i),3(2)(v-a),3(2)(V) IPC 1860",1
"(n),494,504,34 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(L),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(s),3(1)(w),3(2)(v-a),3(1)(r) IPC 1860",1
"(v-a),3(2)(V),3(1)(s),3(1)(r) DOWRY PROHIBITION ACT, 1961",1
"(B),149 KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981",1
"(T),3(2)(v-a) INFORMATION TECHNOLOGY ACT 2008",1
"(n),420 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(2),3(1)(3),3(1)(10)(11),3(1)(14) IPC 1860",1
"(ii),507,506,504,509 INFORMATION TECHNOLOGY ACT 2000",1
"(i)(n),376(2)(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(B),505(2) PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",1
"(r),3(1)(s) The Karnataka Protection of Right to Freedom of Religion Ordinance, 2022",1
"(II),24(F) IPC 1860",1
"(2),3(V),3(2)(V) IPC 1860",1
"(V),3(1)(s),3(1)(r),3(i)(ii) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(n),376(3),149 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"A Juvenile Justice (Care and Protection of Children) Act, 2015",1
"(v-a) RELIGIOUS INSTITUTIONS (PREVENTION OF MISUSE) ACT, 1988",1
"(r),3(1)(s),3(1)(w),3(2)(V),3(2)(v-a) IPC 1860",1
"(n),376AB,376(3),34,366,376C,323,114,366(A) Juvenile Justice (Care and Protection of Children) Act, 2015",1
"(r),3(1)(s),3(1)(w)(i)(ii),3(2)(V),3(2)(v-a) IPC 1860",1
"(12),3(2)(5),3(1)(x)(xii),3(2)(V) IPC 1860",1
"(2),341,504,506,114,34 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(2),131 IPC 1860",1
"B,506,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(1),354(D)(2),509 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(n),354(B) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(II),12 CHILD MARRIAGE RESTRAINT ACT",1
"(V),3(1)(w)(i)(ii) Prohibition of Child Marriage Act 2006",1
"(n),313,323,324,448,504,506,149 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(i)(n),363,376(2)(J),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(k),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(f),3(1)(g),3(1)(r),3(1)(s),3(1)(w)(i)(ii),3(2)(V) IPC 1860",1
"(A),181(3) IPC 1860",1
"(2),3(2)(5),3(1)(10) IPC 1860",1
(v-a) CHILD MARRIAGE RESTRAINT ACT,1
"(k),376(2)(n) CHILD MARRIAGE RESTRAINT ACT",1
"(u),3(2)(v-a) IPC 1860",1
"(d),4(1)(c),4(1) (b),4(1)(a),7(1)(b),7(1)(a),3(4),3(3),3(2),3(1)(c),3(1)(b),3(1)(a) ESSENTIAL COMMODITIES ACT, 1955",1
"(r)(s),3(2)(v-a),3(2)(V) IPC 1860",1
"(X),3(2)(5) IPC 1860",1
(5) INDIAN ELECTRICITY ACT (AMEND.) 2003,1
"(r),3(1)(s),3(X),3(1)(v),3(1)(w)(i)(ii),3(I),3(XI) IPC 1860",1
"(2) PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",1
"(T),3(1)(u),3(1)(v) IPC 1860",1
"(r),3(1)(s),3(1)(u),3(1)(T),3(1)(v) IPC 1860",1
(2) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,1
"(v),3(1) (s),3(2)(v-a) IPC 1860",1
"(n),366 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(n),363,201 THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",1
"(II),6(1) Prohibition of Child Marriage Act 2006",1
"(i)(n),114,149 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(r),3(1)(s),3(2)(V) ARMS ACT, 1959",1
"(A),218 IPC 1860",1
"(A),181,5(1),3(1) IPC 1860",1
"(11) PROTECTION OF CIVIL RIGHTS ACT,1955",1
"A,302,201 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(b),9B(2),9B(1)(b) EXPLOSIVE SUBSTANCES ACT, 1908",1
"(r),3(2)(V),3(2)(v-a),3(1) (s) IPC 1860",1
"(xi),3(1)(xii),3(2)(5) IPC 1860",1
"(c),3(1)(e),3(1) (s) IPC 1860",1
"(2),3(1)(w) IPC 1860",1
"(A),42,44 IPC 1860",1
"(v-a),3(1)(w),3(1)(r)(s) IPC 1860",1
"(I),376AB Juvenile Justice (Care and Protection of Children) Act, 2015",1
MARITIME ZONE OF INDIAN ACT 1981,1
"(1A),4(1) IPC 1860",1
"(va),3(1)(w) Juvenile Justice (Care and Protection of Children) Act, 2015",1
"(w)(i)(ii),3(2)(va),3(1)(v) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(A),21,42,43,44,31(r) IPC 1860",1
"A (2) THE CENTRAL MOTOR VEHICLES RULES, 1989",1
"(r),3(1)(s),3(1)(w)(i)(ii) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(ii),354(D)(2) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(xii),3(2)(V) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",1
"(lll),146,196 IPC 1860",1
"(II),5(L),5(Q),6,21 IPC 1860",1
"(r),3(1)(s),3(2)(V),3(2)(v-a) INDIAN FOREST ACT, 1927",1
"(s),3(1)(w)(i),3(2)(v-a) IPC 1860",1
"(w)(i),3(III),3(II) IPC 1860",1
"(w)(i)(ii),3(2) INFORMATION TECHNOLOGY ACT 2000",1
"(r) EXPLOSIVES ACT, 1884",1
"(II),6,5(i),5(L) IPC 1860",1
"(n),506,341 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(2),115 IPC 1860",1
"(n),376(3),506,114,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(w)(i)(ii),3 (2)(v),3(2)(va) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(A),4(1),4(1A),21(1) IPC 1860",1
"(r) (iii),13 (r) (i),190(2),115,3(1) IPC 1860",1
"(L) INDIAN MOTOR VEHICLES ACT, 1988",1
"(B),41(1)(d),102 IPC 1860",1
"(o),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(s),3(1)(u),3(2)(v-a) IPC 1860",1
"(n),506 INFORMATION TECHNOLOGY ACT 2000",1
"(w)(i),3 (2)(v),3(2)(va),3(1)(w)(i)(ii) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(5),3(1)(11) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
(xii) The SC & ST (Prevention of Atrocities) Amendment Act 2015,1
"(ii) B INDIAN ARMS ACT, 1959",1
"(ii) A,25 NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",1
"(2),128(1) THE CENTRAL MOTOR VEHICLES RULES, 1989",1
"(r) (i),13 (r) (iii),177,192,196 THE CENTRAL MOTOR VEHICLES RULES, 1989",1
"(2)(iv) THE CENTRAL MOTOR VEHICLES RULES, 1989",1
(2)(iv) KARNATAKA MOTOR VEHICLE RULE,1
"(ii),3(2)(va) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(w)(i)(ii),3(2)(va),3 (2)(v),3(2)(va) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
(g) KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,1
"(r),3(1)(za),3(1)(c),3(1)(zc) PROTECTION OF CIVIL RIGHTS ACT,1955",1
"(d) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",1
"(x),3(1)(s),3(1)(r) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(D) ARMS ACT, 1959",1
(i) (r ) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,1
"(i) (F),0,0 IPC 1860",1
"(X),3(1)(xi) IPC 1860",1
"(va),3(1)(r),3(1)(s) Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014",1
"(u),3(2)(V),3(1)(r),3(2)(v-a) IPC 1860",1
"(1A),4(1) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994",1
"(I),506,504,323 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(va),3(1)(w)(i)(ii),3(2) IPC 1860",1
"(r),3(1)(s),3(2),3(2)(va) IPC 1860",1
"(I),506,376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(ii) B,8(c) INDIAN MOTOR VEHICLES ACT, 1988",1
"(A),177 KARNATAKA MOTOR VEHICLE RULE",1
"(1A),42,4(1A),3(1),44 IPC 1860",1
"(lll),5(1) IPC 1860",1
"(l),3(1)(w) IPC 1860",1
"(i),376(2)(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
"(i),341 INDIAN MOTOR VEHICLES ACT, 1988",1
"(s),3(2)(5a) The SC & ST (Prevention of Atrocities) Amendment Act 2015",1
(v) The SC & ST (Prevention of Atrocities) Amendment Act 2015,1
"(y),3(2)(va),3(1)(z),3(1)(s) IPC 1860",1
"(C),505(2),506,509 INFORMATION TECHNOLOGY ACT 2000",1
"(2)(v),3(2)(va) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",1
