src,src_type,dst,dst_type,weight,log_weight,src_community,dst_community
"KARNATAKA POLICE ACT, 1963",act,CHEATING,crime_head,88,4.489,4,2
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,(5) IPC 1860,act,87,4.477,1,1
"ARMS ACT, 1959",act,"INDIAN ARMS ACT, 1959",act,87,4.477,5,5
IPC 1860,act,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMAN,crime_head,87,4.477,2,2
"CODE OF CRIMINAL PROCEDURE, 1973",act,KARNATAKA POLICE ACT 1963,crime_head,86,4.466,0,4
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,(r)(s) IPC 1860,act,86,4.466,1,1
IPC 1860,act,"BONDED LABOUR SYSTEM (ABOLITION) ACT, 1976",act,86,4.466,2,2
IPC 1860,act,"/181 INDIAN MOTOR VEHICLES ACT, 1988",act,86,4.466,2,0
MURDER,crime_head,"INDIAN ARMS ACT, 1959",act,86,4.466,1,5
"ESSENTIAL COMMODITIES ACT, 1955",act,"GAS SUPPLY ACT(LPG ACT REGULATION AND SUPPLY DISTRIBUTION ORDER 2000),1939",act,86,4.466,6,6
The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,act,86,4.466,1,1
CONSUMER,crime_head,Liquified Petroleum Gas (Regulation of Supply & Distribution) Order 2000,act,85,4.454,6,6
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,CHILDREN ACT,crime_head,85,4.454,3,3
Karnataka State Local Act,crime_head,The Karnataka Prisons (Amendment) Act-2022,act,85,4.454,0,0
"CODE OF CRIMINAL PROCEDURE, 1973",act,Karnataka State Local Act,crime_head,83,4.431,0,0
"EXPLOSIVE ACT, 1884",act,"EXPLOSIVE SUBSTANCES ACT, 1908",act,83,4.431,8,8
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,(r) IPC 1860,act,83,4.431,1,1
CHEATING,crime_head,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,82,4.419,2,0
ANIMAL,crime_head,KARNATAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT 2020,act,82,4.419,0,0
THEFT,crime_head,"RAILWAYS ACT, 1989",act,82,4.419,0,5
IPC 1860,act,(r)(s)(2)(va) IPC 1860,act,82,4.419,2,1
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,(A) Transportation of Animal Act 1978,act,81,4.407,0,0
"DOWRY PROHIBITION ACT, 1961",act,"The Muslim Women(Protection of Rights on Marriage) Act, 2019",act,81,4.407,2,2
MOTOR VEHICLE ACCIDENTS FATAL,crime_head,The Central Motor Vehicle Rules 2015,act,81,4.407,0,0
ROBBERY,crime_head,"ARMS ACT, 1959",act,81,4.407,5,5
Karnataka State Local Act,crime_head,KARNATAKA EDUCATION ACT 1983 AS AMENDED UPTODATE,act,81,4.407,0,0
ANIMAL,crime_head,"(D) INDIAN MOTOR VEHICLES ACT, 1988",act,81,4.407,0,0
"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",crime_head,"Prohibition of Electronic Cigarettes(Production,Manufacture,Import, Export,Transport,Sale, Distribution,Storage and Advertisement) Act 2019",act,81,4.407,4,4
The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,(2)(v) IPC 1860,act,81,4.407,1,1
IPC 1860,act,SLAVERY,crime_head,80,4.394,2,2
INFORMATION TECHNOLOGY ACT 2000,act,INFORMATION TECHNOLOGY ACT 2008,act,80,4.394,2,2
MISCHIEF,crime_head,"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,79,4.382,5,5
"KARNATAKA POLICE ACT, 1963",act,ELECTION,crime_head,79,4.382,4,4
"ARMS ACT, 1959",act,-1(B) (b) IPC 1860,act,78,4.369,5,5
ANIMAL,crime_head,The Central Motor Vehicle Rules 2015,act,78,4.369,0,0
CHEATING,crime_head,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,78,4.369,2,0
PASSPORT ACT,crime_head,(B) IPC 1860,act,78,4.369,7,7
INFORMATION TECHNOLOGY ACT 2000,act,RAPE,crime_head,77,4.357,2,1
"KARNATAKA POLICE ACT, 1963",act,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),crime_head,77,4.357,4,5
IPC 1860,act,KARNATAKA ESSENTIAL COMMODITIES( PUBLIC DISTRIBUTION SYSTEM) PUBLIC CONTROL ORDER 1992,act,76,4.344,2,6
"INDIAN MOTOR VEHICLES ACT, 1988",act,(A) Transportation of Animal Act 1978,act,76,4.344,0,0
EXPLOSIVES,crime_head,Explosive Rules 2008,act,76,4.344,8,8
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,(10)(11) IPC 1860,act,76,4.344,1,1
Karnataka State Local Act,crime_head,"PREVENTION OF INSULT TO NATIONAL HONOURS ACT, 1971",act,75,4.331,0,0
THEFT,crime_head,KARNATAKA NEW SAND POLICY 2011,act,75,4.331,0,0
Karnataka State Local Act,crime_head,CHIT FUNDS ACT 1982,act,75,4.331,0,2
IPC 1860,act,A PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,74,4.317,2,3
IPC 1860,act,Prevention of Cruelty to Animals (Slaughter House) Rules 2001,act,74,4.317,2,0
Prohibition of Child Marriage Act 2006,act,CHILD MARRIAGE RESTRAINT ACT,act,74,4.317,3,3
"KARNATAKA POLICE ACT, 1963",act,ANIMAL,crime_head,73,4.304,4,0
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,(10)(11) IPC 1860,act,73,4.304,1,1
IPC 1860,act,(x) IPC 1860,act,72,4.29,2,1
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),crime_head,"THE DISASTER MANAGEMENT ACT, 2005",act,72,4.29,5,4
POCSO,crime_head,(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,72,4.29,3,3
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,(D) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,72,4.29,0,0
IPC 1860,act,(5) IPC 1860,act,72,4.29,2,1
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,72,4.29,3,3
CHEATING,crime_head,"COPYRIGHT ACT, 1957",act,72,4.29,2,2
IPC 1860,act,(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,72,4.29,2,3
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,"(r) (s),3(2)(va) IPC 1860",act,71,4.277,1,1
IPC 1860,act,Liquified Petroleum Gas (Regulation of Supply & Distribution) Order 2000,act,71,4.277,2,6
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,act,71,4.277,0,0
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,(D) IPC 1860,act,70,4.263,0,0
(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,"THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",act,70,4.263,3,3
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),crime_head,70,4.263,0,5
POCSO,crime_head,A PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,70,4.263,3,3
IPC 1860,act,"WILD ANIMAL PROTECTION ACT, 1972",act,70,4.263,2,0
IPC 1860,act,"COTPA, Cigarettes and Other Tobacco Products Act (Amendment) Bill 2015",act,69,4.248,2,4
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,"(r),3(1) (s) IPC 1860",act,69,4.248,1,1
The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,"(r) (s),3(2)(va) IPC 1860",act,69,4.248,1,1
Karnataka State Local Act,crime_head,"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,69,4.248,0,5
IPC 1860,act,"NEGOTIABLE INSTRUMENTS ACT, 1881",act,69,4.248,2,0
IPC 1860,act,INDIAN TELEGRAPH ACT - 1885,act,69,4.248,2,5
CRIMES RELATED TO WOMEN,crime_head,"The Muslim Women(Protection of Rights on Marriage) Act, 2019",act,68,4.234,2,2
MURDER,crime_head,(V) IPC 1860,act,68,4.234,1,1
IPC 1860,act,(r) IPC 1860,act,68,4.234,2,1
"THE KARNATAKA EPIDEMIC DISEASES ACT, 2020",act,Disobedience to Order Promulgated by PublicServan,crime_head,68,4.234,4,4
MOLESTATION,crime_head,INFORMATION TECHNOLOGY ACT 2008,act,68,4.234,2,2
POCSO,crime_head,"(II),5(L),6 IPC 1860",act,67,4.22,3,3
THEFT,crime_head,"(d),102 KARNATAKA POLICE ACT, 1963",act,67,4.22,0,0
ANIMAL,crime_head,"WILD ANIMAL PROTECTION ACT, 1972",act,67,4.22,0,0
Karnataka State Local Act,crime_head,"MOTOR VEHICLE ACT, 1954",act,67,4.22,0,0
IPC 1860,act,Explosive Rules 2008,act,67,4.22,2,8
IPC 1860,act,"PDS CONTROLING ORDER, 1992",act,67,4.22,2,6
NEGLIGENT ACT,crime_head,KARNATAKA MOTOR VEHICLE RULE,act,66,4.205,0,0
"EXPLOSIVE ACT, 1884",act,Explosive Rules 2008,act,66,4.205,8,8
Karnataka State Local Act,crime_head,"PRIZE CHITS & MONEY CIRCULATION SCHEMES (BANNING) ACT, 1978",act,66,4.205,0,2
"EXPLOSIVE SUBSTANCES ACT, 1908",act,"EXPLOSIVES ACT, 1884",act,66,4.205,8,8
IPC 1860,act,TRADE MARKS ACT 1999,act,65,4.19,2,2
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,65,4.19,0,5
The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,(r) (s) IPC 1860,act,65,4.19,1,1
RIOTS,crime_head,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,65,4.19,5,5
IPC 1860,act,Karnataka Electricity Act 2003,act,65,4.19,2,0
ARSON,crime_head,"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",act,64,4.174,5,5
"INDIAN MOTOR VEHICLES ACT, 1988",act,ATTEMPT TO MURDER,crime_head,64,4.174,0,5
IPC 1860,act,IMPERSONATION,crime_head,64,4.174,2,2
IPC 1860,act,OF ABETMENT,crime_head,63,4.159,2,2
IPC 1860,act,BONDED LABOUR SYSTEM,crime_head,63,4.159,2,2
Karnataka State Local Act,crime_head,"KARNATAKA PROHIBITION OF VIOLENCE AGAINST MEDICARE SERVICE PERSONNEL AND DAMAGE TO PROPERTY IN MEDICARE SERVICE INSTITUTIONS ACT , 2009",act,63,4.159,0,5
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,Prevention of Cruelty to Animals (Slaughter House) Rules 2001,act,63,4.159,0,0
KARNATAKA POLICE ACT 1963,crime_head,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,63,4.159,4,0
IPC 1860,act,"(r) (s),3(2)(va) IPC 1860",act,62,4.143,2,1
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,act,62,4.143,0,0
IPC 1860,act,KARNATAKA PRISONERS ACT - 1963,act,62,4.143,2,0
IPC 1860,act,"GAS SUPPLY ACT(LPG ACT REGULATION AND SUPPLY DISTRIBUTION ORDER 2000),1939",act,62,4.143,2,6
Karnataka State Local Act,crime_head,"ENVIRONMENT (PROTECTION) ACT, 1986",act,61,4.127,0,0
Karnataka State Local Act,crime_head,"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",act,61,4.127,0,5
KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,act,(A) Transportation of Animal Act 1978,act,61,4.127,0,0
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",act,61,4.127,1,1
"CODE OF CRIMINAL PROCEDURE, 1973",act,(d) IPC 1860,act,61,4.127,0,0
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,act,Transportation of Animal Act 1978,act,61,4.127,0,0
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,60,4.111,0,5
IPC 1860,act,"RELIGIOUS INSTITUTIONS (PREVENTION OF MISUSE) ACT, 1988",act,60,4.111,2,4
POCSO,crime_head,"(II),6 IPC 1860",act,60,4.111,3,3
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,(r) (s) IPC 1860,act,60,4.111,1,1
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,"(r),3(1)(s),3(1)(w) IPC 1860",act,60,4.111,1,1
MOTOR VEHICLE ACCIDENTS NON-FATAL,crime_head,INDIAN ELECTRICITY ACT (AMEND.) 2003,act,60,4.111,0,0
IPC 1860,act,"KARNATAKA IRRIGATION ACT, 1965",act,60,4.111,2,0
Karnataka State Local Act,crime_head,Karnataka Muncipal Corporation Act 1976,act,60,4.111,0,4
Karnataka State Local Act,crime_head,"KARNATAKA PRIVATE MEDICAL ESTABLISHMENT ACT, 2007",act,59,4.094,0,2
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,"IMMORAL TRAFFIC PREVENTION ACT, 1956",act,59,4.094,3,2
INFORMATION TECHNOLOGY ACT 2008,act,RAPE,crime_head,59,4.094,2,1
"KARNATAKA EXCISE ACT, 1965",act,"THE EPIDEMIC DISEASES (AMENDMENT) ORDINANCE, 2020",act,59,4.094,4,4
"CODE OF CRIMINAL PROCEDURE, 1973",act,CHEATING,crime_head,58,4.078,0,2
POCSO,crime_head,"IMMORAL TRAFFIC PREVENTION ACT, 1956",act,58,4.078,3,2
MISCHIEF,crime_head,"ARMS ACT, 1959",act,58,4.078,5,5
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,MURDER,crime_head,58,4.078,3,1
IPC 1860,act,"PROTECTION OF CIVIL RIGHTS ACT,1955",act,58,4.078,2,2
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,57,4.06,1,3
"INDIAN MOTOR VEHICLES ACT, 1988",act,"KARNATAKA EXCISE ACT, 1965",act,57,4.06,0,4
"INDIAN MOTOR VEHICLES ACT, 1988",act,"NEGOTIABLE INSTRUMENTS ACT, 1881",act,57,4.06,0,0
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,"(A),11(1) (D) INDIAN MOTOR VEHICLES ACT, 1988",act,57,4.06,0,0
IPC 1860,act,(V) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,57,4.06,2,1
The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,"(s),3(1)(r) IPC 1860",act,56,4.043,1,1
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,56,4.043,0,5
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",act,56,4.043,0,5
CASES OF HURT,crime_head,"Juvenile Justice (Care and Protection of Children) Act, 2015",act,56,4.043,5,3
"FOREIGNERS ACT, 1946",act,"FOREIGNERS ORDER ACT, 1948",act,56,4.043,7,7
IPC 1860,act,CHILD LABOUR (PROHIBITION & REGULATION) AMENDMENT ACT 2016,act,56,4.043,2,3
"INDIAN MOTOR VEHICLES ACT, 1988",act,Disobedience to Order Promulgated by PublicServan,crime_head,56,4.043,0,4
"Juvenile Justice (Care and Protection of Children) Act, 2015",act,"CHILD LABOUR (PROHIBITION & REGULATION) ACT,1986",act,56,4.043,3,3
"KARNATAKA POLICE ACT, 1963",act,"THE EPIDEMIC DISEASES (AMENDMENT) ORDINANCE, 2020",act,55,4.025,4,4
"KARNATAKA POLICE ACT, 1963",act,"COTPA, Cigarettes and Other Tobacco Products,Act 2003",act,55,4.025,4,4
IPC 1860,act,"(f),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,55,4.025,2,3
IPC 1860,act,Karnataka Muncipal Corporation Act 1976,act,55,4.025,2,4
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,(n) Prohibition of Child Marriage Act 2006,act,55,4.025,3,3
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,"(II),6 IPC 1860",act,55,4.025,3,3
NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,crime_head,"ARMS ACT, 1959",act,55,4.025,7,5
KARNATAKA PROTECTION OF INTEREST DEPOSITORS EXORBITANT ACT 2004,act,The Banning of Unregulated Deposit Schemes Ordinance 2019,act,55,4.025,2,2
IPC 1860,act,DRUGS CONTROL ACT 1950,act,54,4.007,2,0
IPC 1860,act,(n) Prohibition of Child Marriage Act 2006,act,54,4.007,2,3
POCSO,crime_head,"(f),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,54,4.007,3,3
The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,(s) IPC 1860,act,54,4.007,1,1
"DOWRY PROHIBITION ACT, 1961",act,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,54,4.007,2,1
CRIMINAL TRESPASS,crime_head,KARNATAKA LAND REVENUE ACT 1964,act,54,4.007,5,0
Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,act,"(r)(s),3(2)(5a) IPC 1860",act,54,4.007,1,1
IPC 1860,act,(B) IPC 1860,act,54,4.007,2,7
ATTEMPT TO MURDER,crime_head,KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,act,54,4.007,5,5
"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,(V) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,54,4.007,1,1
Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,act,(v-a) IPC 1860,act,53,3.989,1,1
Karnataka State Local Act,crime_head,(D) IPC 1860,act,53,3.989,0,0
"KARNATAKA POLICE ACT, 1963",act,"Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production,Supply and Distribution) Rules - 2004",act,53,3.989,4,4
IPC 1860,act,(10)(11) IPC 1860,act,53,3.989,2,1
POCSO,crime_head,(n) Prohibition of Child Marriage Act 2006,act,53,3.989,3,3
SCHEDULED CASTE AND THE SCHEDULED TRIBES,crime_head,"(r)(s),3(2)(5a) IPC 1860",act,52,3.97,1,1
ATTEMPT TO MURDER,crime_head,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,52,3.97,5,1
"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",act,(va) IPC 1860,act,52,3.97,1,1
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,"(II),5(L),6 IPC 1860",act,52,3.97,3,3
"COPYRIGHT ACT, 1957",act,TRADE MARKS ACT 1999,act,52,3.97,2,2
IPC 1860,act,UNNATURAL SEX,crime_head,51,3.951,2,2
IPC 1860,act,"A,376 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,51,3.951,2,3
POCSO,crime_head,"A,376 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,51,3.951,3,3
INFORMATION TECHNOLOGY ACT 2008,act,(B) IPC 1860,act,51,3.951,2,7
"INDIAN MOTOR VEHICLES ACT, 1988",act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,51,3.951,0,3
NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,crime_head,"PASSPORTS ACT, 1967",act,50,3.932,7,7
The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,Prohibition of Child Marriage Act 2006,act,50,3.932,1,3
Karnataka State Local Act,crime_head,"The Prohibition of Employment as Manual Scavengers and their Rehabilitation Act, 2013",act,50,3.932,0,0
"INDIAN MOTOR VEHICLES ACT, 1988",act,ELECTION,crime_head,50,3.932,0,4
CHEATING,crime_head,"KARNATAKA PROHIBITION OF CHARGING EXORBITANT INTEREST ACT, 2004",act,50,3.932,2,2
IPC 1860,act,FOOD SAFETY AND STANDARDS ACT-2006,act,50,3.932,2,4
"PASSPORTS ACT, 1967",act,"REGISTRATION OF FOREIGNERS ACT, 1939",act,50,3.932,7,7
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,(V) IPC 1860,act,49,3.912,3,1
Karnataka State Local Act,crime_head,Prevention of Cruelty to Animals (Slaughter House) Rules 2001,act,49,3.912,0,0
IPC 1860,act,The Karnataka Phohibition of Violence against Medicare service personnel and Damage to Property in Medicare Service Institutions Act 2009,act,49,3.912,2,2
IPC 1860,act,THE KARNATAKA PREVENTION OF CHARGING EXORBITANT INTEREST ACT 2004,act,49,3.912,2,0
"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",act,"(r),3(1)(s) IPC 1860",act,49,3.912,1,1
IPC 1860,act,"PRISONS ACT, 1894",act,49,3.912,2,2
"RAILWAYS ACT, 1989",act,RAILWAYS ACT,crime_head,49,3.912,5,5
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,"ENVIRONMENT (PROTECTION) ACT, 1986",act,49,3.912,0,0
"INDIAN MOTOR VEHICLES ACT, 1988",act,CONSUMER,crime_head,48,3.892,0,6
THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,act,Transportation of Animal Act 1978,act,48,3.892,0,0
"INDIAN MOTOR VEHICLES ACT, 1988",act,"ESSENTIAL COMMODITIES ACT, 1955",act,48,3.892,0,6
The SC & ST (Prevention of Atrocities) Amendment Act 2015,act,(r) IPC 1860,act,48,3.892,1,1
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),crime_head,48,3.892,0,5
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,"MOTOR VEHICLE ACT, 1954",act,48,3.892,0,0
Karnataka State Local Act,crime_head,DRUGS CONTROL ACT 1950,act,48,3.892,0,0
IPC 1860,act,"(J),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,48,3.892,2,3
Karnataka State Local Act,crime_head,"KARNATAKA IRRIGATION ACT, 1965",act,48,3.892,0,0
"DOWRY PROHIBITION ACT, 1961",act,SUICIDE,crime_head,48,3.892,2,2
IPC 1860,act,"KARNATAKA POLICE (AMENDMENT) ACT, 2021",act,47,3.871,2,4
"INDIAN MOTOR VEHICLES ACT, 1988",act,POCSO,crime_head,47,3.871,0,3
THEFT,crime_head,INDIAN ELECTRICITY ACT (AMEND.) 2003,act,47,3.871,0,0
KARNATAKA PROTECTION OF INTEREST DEPOSITORS EXORBITANT ACT 2004,act,"PRIZE CHITS & MONEY CIRCULATION SCHEMES (BANNING) ACT, 1978",act,47,3.871,2,2
Prohibition of Child Marriage Act 2006,act,(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,47,3.871,3,3
KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981,act,Karnataka Muncipal Corporation Act 1976,act,47,3.871,4,4
CASES OF HURT,crime_head,"ARMS ACT, 1959",act,47,3.871,5,5
FOREIGNER,crime_head,"FOREIGNERS ORDER ACT, 1948",act,47,3.871,7,7
POCSO,crime_head,"(J),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,47,3.871,3,3
IPC 1860,act,"(n),363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,46,3.85,2,3
IPC 1860,act,-1(B) (b) IPC 1860,act,46,3.85,2,5
"KARNATAKA POLICE ACT, 1963",act,INFORMATION TECHNOLOGY ACT 2000,act,46,3.85,4,2
Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,act,"(r),3(1) (s) IPC 1860",act,45,3.829,1,1
IPC 1860,act,"JUVENILE JUSTICE ACT, 1986",act,45,3.829,2,3
"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",crime_head,"COTPA, Cigarettes and Other Tobacco Products Act (Amendment) Bill 2015",act,45,3.829,4,4
CHEATING,crime_head,KARNATAKA EDUCATION ACT 1983 AS AMENDED UPTODATE,act,45,3.829,2,0
ARSON,crime_head,KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,act,45,3.829,5,5
"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",act,"(r),3(1)(s),3(2)(va) IPC 1860",act,45,3.829,1,1
Karnataka State Local Act,crime_head,"ESSENTIAL COMMODITIES ACT, 1955",act,45,3.829,0,6
MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,(1A) IPC 1860,act,45,3.829,0,0
"IMMORAL TRAFFIC PREVENTION ACT, 1956",act,Human Trafficking,crime_head,45,3.829,2,2
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,"JUVENILE JUSTICE ACT, 2000",act,45,3.829,3,3
CHEATING,crime_head,The Banning of Unregulated Deposit Schemes Ordinance 2019,act,44,3.807,2,2
"KARNATAKA EXCISE ACT, 1965",act,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),crime_head,44,3.807,4,5
PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,B PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,44,3.807,3,3
CHEATING,crime_head,KARNATAKA MONEY LENDERS ACT 1961,act,44,3.807,2,2
POCSO,crime_head,"(n),363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,44,3.807,3,3
IPC 1860,act,"(II),6 Prohibition of Child Marriage Act 2006",act,44,3.807,2,3
"CODE OF CRIMINAL PROCEDURE, 1973",act,Disobedience to Order Promulgated by PublicServan,crime_head,44,3.807,0,4
Karnataka State Local Act,crime_head,(A) Transportation of Animal Act 1978,act,44,3.807,0,0
THEFT,crime_head,"MOTOR VEHICLE ACT, 1954",act,44,3.807,0,0
KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,"MOTOR VEHICLE ACT, 1954",act,44,3.807,0,0
IPC 1860,act,"KARNATAKA CO-OPERATIVE SOCIETIES ACT, 1959",act,43,3.784,2,2
CHEATING,crime_head,"KARNATAKA PRIVATE MEDICAL ESTABLISHMENT ACT, 2007",act,43,3.784,2,2
CHEATING,crime_head,KARNATAKA LAND REVENUE ACT 1964,act,43,3.784,2,0
"CODE OF CRIMINAL PROCEDURE, 1973",act,BURGLARY - NIGHT,crime_head,43,3.784,0,2
"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",act,(A) IPC 1860,act,43,3.784,0,0
"KARNATAKA EXCISE ACT, 1965",act,ADULTERATION,crime_head,43,3.784,4,4
