src_type,src,dst_type,dst,weight
act,"A,376 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,IPC 1860,51
act,(B) IPC 1860,act,INFORMATION TECHNOLOGY ACT 2008,51
act,"INDIAN MOTOR VEHICLES ACT, 1988",act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,51
crime_head,MISCHIEF,district,Bidar,51
crime_head,DEATHS DUE TO RASHNESS/NEGLIGENCE,district,Chikkaballapura,51
crime_head,Attempting to commit offences,district,Chitradurga,51
crime_head,NEGLIGENT ACT,district,Dharwad,51
crime_head,RAPE,district,Hubballi-Dharwad City,51
crime_head,Disobedience to Order Promulgated by PublicServan,district,Hubballi-Dharwad City,51
crime_head,DOWRY DEATHS,district,Kolar,51
crime_head,Attempting to commit offences,district,Mysuru,51
crime_head,ARSON,district,Raichur,51
crime_head,WRONGFUL RESTRAINT/CONFINEMENT,district,Vijayapura,51
crime_head,ELECTION,act,"INDIAN MOTOR VEHICLES ACT, 1988",50
crime_head,CHEATING,act,"KARNATAKA PROHIBITION OF CHARGING EXORBITANT INTEREST ACT, 2004",50
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,act,"PASSPORTS ACT, 1967",50
crime_head,Karnataka State Local Act,act,"The Prohibition of Employment as Manual Scavengers and their Rehabilitation Act, 2013",50
act,FOOD SAFETY AND STANDARDS ACT-2006,act,IPC 1860,50
act,Prohibition of Child Marriage Act 2006,act,The SC & ST (Prevention of Atrocities) Amendment Act 2015,50
act,"PASSPORTS ACT, 1967",act,"REGISTRATION OF FOREIGNERS ACT, 1939",50
crime_head,DACOITY,district,Chikkamagaluru,50
crime_head,ANIMAL,district,Chitradurga,50
crime_head,MISCHIEF,district,Mysuru City,50
crime_head,WRONGFUL RESTRAINT/CONFINEMENT,district,Mysuru City,50
crime_head,EXPLOSIVES,district,Ramanagara,50
crime_head,Attempting to commit offences,district,Vijayapura,50
crime_head,AFFRAY,district,Vijayapura,50
crime_head,Karnataka State Local Act,act,Prevention of Cruelty to Animals (Slaughter House) Rules 2001,49
crime_head,RAILWAYS ACT,act,"RAILWAYS ACT, 1989",49
act,IPC 1860,act,The Karnataka Phohibition of Violence against Medicare service personnel and Damage to Property in Medicare Service Institutions Act 2009,49
act,"(r),3(1)(s) IPC 1860",act,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",49
act,(V) IPC 1860,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,49
act,IPC 1860,act,THE KARNATAKA PREVENTION OF CHARGING EXORBITANT INTEREST ACT 2004,49
act,IPC 1860,act,"PRISONS ACT, 1894",49
act,"ENVIRONMENT (PROTECTION) ACT, 1986",act,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,49
crime_head,FORGERY,district,Bidar,49
crime_head,DOWRY DEATHS,district,Chikkaballapura,49
crime_head,REPRESENTATION OF PEOPLE ACT 1951 & 1988,district,Hassan,49
crime_head,AFFRAY,district,Kalaburagi,49
crime_head,DOWRY DEATHS,district,Mysuru,49
crime_head,DOWRY DEATHS,district,Shivamogga,49
crime_head,CONSUMER,district,Udupi,49
crime_head,MISCHIEF,district,Uttara Kannada,49
crime_head,INSULTING MODESTY OF WOMEN (EVE TEASING),district,Uttara Kannada,49
crime_head,CONSUMER,act,"INDIAN MOTOR VEHICLES ACT, 1988",48
crime_head,Karnataka State Local Act,act,"KARNATAKA IRRIGATION ACT, 1965",48
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),act,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,48
crime_head,SUICIDE,act,"DOWRY PROHIBITION ACT, 1961",48
crime_head,Karnataka State Local Act,act,DRUGS CONTROL ACT 1950,48
act,"ESSENTIAL COMMODITIES ACT, 1955",act,"INDIAN MOTOR VEHICLES ACT, 1988",48
act,"(J),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,IPC 1860,48
act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,act,Transportation of Animal Act 1978,48
act,(r) IPC 1860,act,The SC & ST (Prevention of Atrocities) Amendment Act 2015,48
act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,act,"MOTOR VEHICLE ACT, 1954",48
crime_head,ARSON,district,Bagalkote,48
crime_head,Attempting to commit offences,district,Ballari,48
crime_head,DACOITY,district,Bidar,48
crime_head,ARSON,district,Chamarajanagar,48
crime_head,DACOITY,district,Chikkaballapura,48
crime_head,CRIMES RELATED TO WOMEN,district,Dakshina Kannada,48
crime_head,Disobedience to Order Promulgated by PublicServan,district,Hassan,48
crime_head,MISCHIEF,district,Kalaburagi City,48
crime_head,DOWRY DEATHS,district,Mandya,48
crime_head,ANIMAL,district,Mangaluru City,48
crime_head,CRIMINAL BREACH OF TRUST,district,Mysuru,48
crime_head,ARSON,district,Uttara Kannada,48
crime_head,CONSUMER,district,Yadgir,48
crime_head,POCSO,act,"INDIAN MOTOR VEHICLES ACT, 1988",47
crime_head,THEFT,act,INDIAN ELECTRICITY ACT (AMEND.) 2003,47
crime_head,CASES OF HURT,act,"ARMS ACT, 1959",47
crime_head,FOREIGNER,act,"FOREIGNERS ORDER ACT, 1948",47
crime_head,POCSO,act,"(J),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",47
act,(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,Prohibition of Child Marriage Act 2006,47
act,IPC 1860,act,"KARNATAKA POLICE (AMENDMENT) ACT, 2021",47
act,KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981,act,Karnataka Muncipal Corporation Act 1976,47
act,KARNATAKA PROTECTION OF INTEREST DEPOSITORS EXORBITANT ACT 2004,act,"PRIZE CHITS & MONEY CIRCULATION SCHEMES (BANNING) ACT, 1978",47
crime_head,CHILDREN ACT,district,Chitradurga,47
crime_head,DEATHS DUE TO RASHNESS/NEGLIGENCE,district,Dakshina Kannada,47
crime_head,CRIMINAL BREACH OF TRUST,district,Dakshina Kannada,47
crime_head,ELECTION,district,Davanagere,47
crime_head,SUICIDE,district,Dharwad,47
crime_head,ARSON,district,Hubballi-Dharwad City,47
crime_head,RAILWAYS ACT,district,Karnataka Railways,47
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),district,Karnataka Railways,47
crime_head,DACOITY,district,Kolar,47
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Koppal,47
crime_head,EXPOSURE AND ABANDONMENT OF CHILD,district,Tumakuru,47
act,"(n),363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,IPC 1860,46
act,INFORMATION TECHNOLOGY ACT 2000,act,"KARNATAKA POLICE ACT, 1963",46
act,-1(B) (b) IPC 1860,act,IPC 1860,46
crime_head,WRONGFUL RESTRAINT/CONFINEMENT,district,Bagalkote,46
crime_head,RAPE,district,Gadag,46
crime_head,CONSUMER,district,Hubballi-Dharwad City,46
crime_head,DACOITY,district,Kalaburagi,46
crime_head,FORGERY,district,Mysuru,46
crime_head,DOWRY DEATHS,district,Ramanagara,46
crime_head,Attempting to commit offences,district,Udupi,46
crime_head,Karnataka State Local Act,act,"ESSENTIAL COMMODITIES ACT, 1955",45
crime_head,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",act,"COTPA, Cigarettes and Other Tobacco Products Act (Amendment) Bill 2015",45
crime_head,CHEATING,act,KARNATAKA EDUCATION ACT 1983 AS AMENDED UPTODATE,45
crime_head,Human Trafficking,act,"IMMORAL TRAFFIC PREVENTION ACT, 1956",45
crime_head,ARSON,act,KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,45
act,"(r),3(1) (s) IPC 1860",act,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,45
act,"(r),3(1)(s),3(2)(va) IPC 1860",act,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",45
act,(1A) IPC 1860,act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,45
act,"JUVENILE JUSTICE ACT, 2000",act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,45
act,IPC 1860,act,"JUVENILE JUSTICE ACT, 1986",45
crime_head,ANIMAL,district,Bidar,45
crime_head,IMMORAL TRAFFIC,district,Bidar,45
crime_head,ELECTION,district,Chikkamagaluru,45
crime_head,PUBLIC NUISANCE,district,Chitradurga,45
crime_head,IMMORAL TRAFFIC,district,Hubballi-Dharwad City,45
crime_head,AFFRAY,district,Kalaburagi City,45
crime_head,COUNTERFEITING,district,Mangaluru City,45
crime_head,Attempting to commit offences,district,Raichur,45
crime_head,DACOITY,district,Udupi,45
crime_head,CHEATING,act,The Banning of Unregulated Deposit Schemes Ordinance 2019,44
crime_head,POCSO,act,"(n),363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",44
crime_head,THEFT,act,"MOTOR VEHICLE ACT, 1954",44
crime_head,OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),act,"KARNATAKA EXCISE ACT, 1965",44
crime_head,CHEATING,act,KARNATAKA MONEY LENDERS ACT 1961,44
crime_head,Disobedience to Order Promulgated by PublicServan,act,"CODE OF CRIMINAL PROCEDURE, 1973",44
crime_head,Karnataka State Local Act,act,(A) Transportation of Animal Act 1978,44
act,B PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,44
act,"(II),6 Prohibition of Child Marriage Act 2006",act,IPC 1860,44
act,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,"MOTOR VEHICLE ACT, 1954",44
crime_head,IMMORAL TRAFFIC,district,Ballari,44
crime_head,FORGERY,district,Ballari,44
crime_head,ARMS ACT 1959,district,Bengaluru Rural,44
crime_head,ELECTION,district,Hubballi-Dharwad City,44
crime_head,EXPOSURE AND ABANDONMENT OF CHILD,district,Karnataka Railways,44
crime_head,ARSON,district,Mysuru City,44
crime_head,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,district,Shivamogga,44
crime_head,COMMUNAL / RELIGION,district,Yadgir,44
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Yadgir,44
crime_head,Disobedience to Order Promulgated by PublicServan,district,Yadgir,44
crime_head,CHEATING,act,"KARNATAKA PRIVATE MEDICAL ESTABLISHMENT ACT, 2007",43
crime_head,ADULTERATION,act,"KARNATAKA EXCISE ACT, 1965",43
crime_head,CHEATING,act,KARNATAKA LAND REVENUE ACT 1964,43
crime_head,Karnataka State Local Act,act,(1A) IPC 1860,43
crime_head,RAPE,act,"DOWRY PROHIBITION ACT, 1961",43
crime_head,BURGLARY - NIGHT,act,"CODE OF CRIMINAL PROCEDURE, 1973",43
crime_head,POCSO,act,"(II),6 Prohibition of Child Marriage Act 2006",43
crime_head,THEFT,act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,43
act,"(A) INDIAN MOTOR VEHICLES ACT, 1988",act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,43
act,(A) IPC 1860,act,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",43
act,IPC 1860,act,"KARNATAKA CO-OPERATIVE SOCIETIES ACT, 1959",43
act,IPC 1860,act,KARNATAKA ELECTRICITY REFORM ACT 1999,43
crime_head,DACOITY,district,Bagalkote,43
crime_head,SLAVERY,district,Bengaluru City,43
crime_head,COMMUNAL / RELIGION,district,Chamarajanagar,43
crime_head,Attempting to commit offences,district,Chikkaballapura,43
crime_head,DEATHS DUE TO RASHNESS/NEGLIGENCE,district,Chitradurga,43
crime_head,OFFENCES PROMOTING ENEMITY,district,Dakshina Kannada,43
crime_head,ARMS ACT 1959,district,Kalaburagi,43
crime_head,COMMUNAL / RELIGION,district,Kalaburagi City,43
crime_head,POISONING-PROFESSIONAL,district,Karnataka Railways,43
crime_head,COMMUNAL / RELIGION,district,Kodagu,43
crime_head,Disobedience to Order Promulgated by PublicServan,district,Shivamogga,43
crime_head,Karnataka State Local Act,act,"RELIGIOUS INSTITUTIONS (PREVENTION OF MISUSE) ACT, 1988",42
crime_head,COMMUNAL / RELIGION,act,INFORMATION TECHNOLOGY ACT 2008,42
crime_head,Karnataka State Local Act,act,"EPIDEMIC DISEASES ACT, 1897",42
crime_head,MOTOR VEHICLE ACCIDENTS FATAL,act,KARNATAKA MOTOR VEHICLE RULE,42
crime_head,Karnataka State Local Act,act,KARNATAKA PRISONERS ACT - 1963,42
crime_head,POCSO,act,(V) IPC 1860,42
crime_head,Karnataka State Local Act,act,THE KARNATAKA PREVENTION OF CHARGING EXORBITANT INTEREST ACT 2004,42
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,act,"REGISTRATION OF FOREIGNERS ACT, 1939",42
crime_head,THEFT,act,KARNATAKA FOREST RULES,42
crime_head,CIVIL RIGHTS,act,"PROTECTION OF CIVIL RIGHTS ACT,1955",42
act,"(i),8,4 ESSENTIAL COMMODITIES ACT, 1955",act,IPC 1860,42
crime_head,CHILDREN ACT,district,Chamarajanagar,42
crime_head,CHILDREN ACT,district,Chikkamagaluru,42
crime_head,CRIMINAL BREACH OF TRUST,district,Chikkamagaluru,42
crime_head,ELECTION,district,Chitradurga,42
crime_head,NEGLIGENT ACT,district,Gadag,42
crime_head,CRIMES RELATED TO WOMEN,district,Gadag,42
crime_head,CRIMINAL BREACH OF TRUST,district,Hassan,42
crime_head,FORGERY,district,Hassan,42
crime_head,DACOITY,district,Hubballi-Dharwad City,42
crime_head,COMMUNAL / RELIGION,district,Tumakuru,42
crime_head,REPRESENTATION OF PEOPLE ACT 1951 & 1988,district,Udupi,42
crime_head,THEFT,act,KARNATAKA LAND REVENUE ACT 1964,41
crime_head,POCSO,act,(V) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,41
crime_head,CrPC,act,(d) IPC 1860,41
crime_head,RIOTS,act,"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",41
crime_head,Karnataka State Local Act,act,(A) IPC 1860,41
crime_head,CRIMINAL BREACH OF TRUST,act,The Banning of Unregulated Deposit Schemes Ordinance 2019,41
act,(va) IPC 1860,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,41
act,Prevention of Cruelty to Animals (Slaughter House) Rules 2001,act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ACT-2020,41
act,"(n) THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",act,IPC 1860,41
act,(1A) KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,act,KARNATAKA NEW SAND POLICY 2011,41
crime_head,RAPE,district,Bagalkote,41
crime_head,DEATHS DUE TO RASHNESS/NEGLIGENCE,district,Ballari,41
crime_head,AFFRAY,district,Belagavi,41
crime_head,EXPOSURE AND ABANDONMENT OF CHILD,district,Bidar,41
crime_head,EXPLOSIVES,district,Chamarajanagar,41
crime_head,Attempting to commit offences,district,Kalaburagi City,41
crime_head,FORGERY,district,Koppal,41
crime_head,Attempting to commit offences,district,Mysuru City,41
crime_head,ELECTION,district,Udupi,41
crime_head,KARNATAKA POLICE ACT 1963,act,INFORMATION TECHNOLOGY ACT 2000,40
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,act,"ARMS ACT, 1959",40
crime_head,MOLESTATION,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,40
crime_head,RIOTS,act,"ARMS ACT, 1959",40
crime_head,FOREIGNER,act,"REGISTRATION OF FOREIGNERS ACT, 1939",40
act,(s) IPC 1860,act,IPC 1860,40
act,IPC 1860,act,"THE SPECIFIED BANK NOTES(CESSATIONOF LIABILITIES)ACT, 2017",40
act,IPC 1860,act,"The Prize Chits and Money Circulation Schemes (Banning) Act, 1978",40
act,"(n) THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,40
act,"ARMS ACT, 1959",act,"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",40
act,IPC 1860,act,KARNATAKA REGISTRATION ACT 1908,40
act,(A) Transportation of Animal Act 1978,act,IPC 1860,40
act,"KARNATAKA POLICE ACT, 1963",act,Transportation of Animal Act 1978,40
act,"(b) EXPLOSIVE SUBSTANCES ACT, 1908",act,"EXPLOSIVE ACT, 1884",40
act,Prohibition of Child Marriage Act 2006,act,"THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",40
crime_head,REPRESENTATION OF PEOPLE ACT 1951 & 1988,district,Chikkaballapura,40
crime_head,CHILDREN ACT,district,Dakshina Kannada,40
crime_head,MISCHIEF,district,Haveri,40
crime_head,Attempting to commit offences,district,Kalaburagi,40
crime_head,CHEATING,district,Karnataka Railways,40
crime_head,COMMUNAL / RELIGION,district,Kolar,40
crime_head,DEATHS DUE TO RASHNESS/NEGLIGENCE,district,Mandya,40
crime_head,DOWRY DEATHS,district,Raichur,40
crime_head,WRONGFUL RESTRAINT/CONFINEMENT,district,Udupi,40
crime_head,WRONGFUL RESTRAINT/CONFINEMENT,district,Uttara Kannada,40
crime_head,COPY RIGHT ACT 1957,act,TRADE MARKS ACT 1999,39
crime_head,POCSO,act,"(n) THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",39
crime_head,POCSO,act,"JUVENILE JUSTICE ACT, 2000",39
crime_head,PORNOGRAPHY,act,"KARNATAKA POLICE ACT, 1963",39
crime_head,Karnataka State Local Act,act,"(A),11(1) (D) INDIAN MOTOR VEHICLES ACT, 1988",39
crime_head,KIDNAPPING AND ABDUCTION,act,Prohibition of Child Marriage Act 2006,39
crime_head,EXPLOSIVES,act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,39
crime_head,EXPLOSIVES,act,"(b) EXPLOSIVE SUBSTANCES ACT, 1908",39
crime_head,NEGLIGENT ACT,act,INDIAN ELECTRICITY ACT (AMEND.) 2003,39
act,CHILD LABOUR (PROHIBITION & REGULATION) AMENDMENT ACT 2016,act,"Juvenile Justice (Care and Protection of Children) Act, 2015",39
act,"(n),34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,IPC 1860,39
act,IPC 1860,act,"Maintenance and Welfare of Parents and Senior Citizens Act, 2007",39
act,/181 IPC 1860,act,"MOTOR VEHICLE ACT, 1954",39
act,(A) IPC 1860,act,"INDIAN MOTOR VEHICLES ACT, 1988",39
crime_head,AFFRAY,district,Bagalkote,39
crime_head,RAPE,district,Belagavi City,39
crime_head,COMMUNAL / RELIGION,district,Dakshina Kannada,39
crime_head,ARMS ACT 1959,district,Hassan,39
crime_head,CRIMINAL BREACH OF TRUST,district,Haveri,39
crime_head,CRIMINAL BREACH OF TRUST,district,Kalaburagi,39
crime_head,MISCHIEF,district,Kalaburagi,39
crime_head,DACOITY,district,Karnataka Railways,39
crime_head,COMMUNAL / RELIGION,district,Koppal,39
crime_head,COMMUNAL / RELIGION,district,Mandya,39
crime_head,CHILDREN ACT,district,Vijayanagara,39
crime_head,MISCHIEF,district,Vijayanagara,39
crime_head,CRIMINAL BREACH OF TRUST,district,Vijayapura,39
crime_head,ANTIQUES (CULTURAL PROPERTY),act,"ANCIENT MONUMENT & ARCH.SITES & REMAINS ACT,1958",38
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,"(v-a),3(1)(s),3(1)(r) IPC 1860",38
crime_head,ADULTERATION,act,"COTPA, Cigarettes and Other Tobacco Products Act (Amendment) Bill 2015",38
crime_head,ELECTION,act,KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981,38
crime_head,POCSO,act,"(n),34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",38
crime_head,CRIMINAL INTIMIDATION,act,"INDIAN ARMS ACT, 1959",38
act,(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,The SC & ST (Prevention of Atrocities) Amendment Act 2015,38
act,IPC 1860,act,"PETROLEUM ACT, 1934",38
act,(J) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,IPC 1860,38
act,/181 IPC 1860,act,IPC 1860,38
act,(A) Transportation of Animal Act 1978,act,The Central Motor Vehicle Rules 2015,38
act,KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981,act,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",38
act,IPC 1860,act,"REGISTRATION ACT, 1908",38
act,"INDIAN MOTOR VEHICLES ACT, 1988",act,"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",38
act,"(w)(i)(ii),3(2)(va) IPC 1860",act,The SC & ST (Prevention of Atrocities) Amendment Act 2015,38
crime_head,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,district,Bengaluru City,38
crime_head,IMMORAL TRAFFIC,district,Chikkaballapura,38
crime_head,SUICIDE,district,Dakshina Kannada,38
crime_head,AFFRAY,district,Dharwad,38
crime_head,DEATHS DUE TO RASHNESS/NEGLIGENCE,district,Kalaburagi,38
crime_head,ARSON,district,Kalaburagi City,38
crime_head,IMMORAL TRAFFIC,district,Kalaburagi City,38
crime_head,AFFRAY,district,Raichur,38
crime_head,COMMUNAL / RELIGION,act,INFORMATION TECHNOLOGY ACT 2000,37
crime_head,SUICIDE,act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,37
crime_head,ELECTION,act,"KARNATAKA EXCISE ACT, 1965",37
crime_head,ANIMAL,act,(A) Transportation of Animal Act 1978,37
crime_head,CHILDREN ACT,act,"JUVENILE JUSTICE ACT, 1986",37
crime_head,ATTEMPT TO MURDER,act,"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981",37
crime_head,MOTOR VEHICLE ACCIDENTS NON-FATAL,act,"NEGOTIABLE INSTRUMENTS ACT, 1881",37
crime_head,CHEATING,act,"INDIAN MOTOR VEHICLES ACT, 1988",37
crime_head,MURDER,act,(5) IPC 1860,37
act,(s) IPC 1860,act,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",37
act,"CODE OF CRIMINAL PROCEDURE, 1973",act,"INDIAN MOTOR VEHICLES ACT, 1988",37
act,(B) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,act,INFORMATION TECHNOLOGY ACT 2008,37
act,"EPIDEMIC DISEASES ACT, 1897",act,"KARNATAKA POLICE ACT, 1963",37
act,"KARNATAKA POLICE ACT, 1963",act,The Central Motor Vehicle Rules 2015,37
act,"(A) INDIAN MOTOR VEHICLES ACT, 1988",act,"KARNATAKA POLICE ACT, 1963",37
crime_head,PUBLIC SAFETY,district,Belagavi City,37
crime_head,COMMUNAL / RELIGION,district,Bengaluru Rural,37
crime_head,REPRESENTATION OF PEOPLE ACT 1951 & 1988,district,Bidar,37
crime_head,FORGERY,district,Chamarajanagar,37
crime_head,ARMS ACT 1959,district,Chamarajanagar,37
crime_head,CONSUMER,district,Chikkaballapura,37
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,district,Coastal Security Police,37
crime_head,Failure to appear to Court,district,Dakshina Kannada,37
crime_head,DOWRY DEATHS,district,Haveri,37
crime_head,REPRESENTATION OF PEOPLE ACT 1951 & 1988,district,Haveri,37
crime_head,REPRESENTATION OF PEOPLE ACT 1951 & 1988,district,Hubballi-Dharwad City,37
crime_head,RAPE,district,K.G.F,37
crime_head,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,district,Mandya,37
crime_head,BONDED LABOUR SYSTEM,district,Mysuru,37
crime_head,IMMORAL TRAFFIC,district,Mysuru,37
crime_head,FORGERY,district,Raichur,37
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,"(r),3(2)(va) IPC 1860",36
crime_head,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,act,"(ii) (B) NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",36
crime_head,POCSO,act,(J) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,36
crime_head,ROBBERY,act,"KARNATAKA POLICE ACT, 1963",36
crime_head,SCHEDULED CASTE AND THE SCHEDULED TRIBES,act,(5) IPC 1860,36
crime_head,MURDER,act,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014,36
crime_head,EXPLOSIVES,act,(b) IPC 1860,36
crime_head,Karnataka State Local Act,act,"THE SPECIFIED BANK NOTES(CESSATIONOF LIABILITIES)ACT, 2017",36
crime_head,KIDNAPPING AND ABDUCTION,act,CHILD MARRIAGE RESTRAINT ACT,36
act,"(v-a),3(1)(s),3(1)(r) IPC 1860",act,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",36
act,"(n),363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",act,PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,36
act,(b) IPC 1860,act,"EXPLOSIVE ACT, 1884",36
act,Prohibition of Child Marriage Act 2006,act,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",36
act,"EXPLOSIVE SUBSTANCES ACT, 1908",act,MMDR (MINES AND MINERALS REGULATION OF DEVELOPMENT) ACT 1957,36
act,(1A) IPC 1860,act,KARNATAKA MINOR MINERAL CONSISTENT RULE 1994,36
crime_head,ARSON,district,Ballari,36
crime_head,CRIMINAL BREACH OF TRUST,district,Gadag,36
crime_head,ANIMAL,district,Haveri,36
crime_head,ARSON,district,Kalaburagi,36
crime_head,ARSON,district,Kodagu,36
crime_head,FORGERY,district,Kodagu,36
crime_head,CRIMINAL BREACH OF TRUST,district,Kodagu,36
crime_head,OFFENCES PROMOTING ENEMITY,district,Mangaluru City,36
crime_head,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,district,Ramanagara,36
crime_head,CRIMINAL INTIMIDATION,act,INFORMATION TECHNOLOGY ACT 2000,35
crime_head,KARNATAKA POLICE ACT 1963,act,"INDIAN MOTOR VEHICLES ACT, 1988",35
crime_head,REPRESENTATION OF PEOPLE ACT 1951 & 1988,act,KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981,35
crime_head,Karnataka State Local Act,act,(D) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,35
act,"(n) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",act,IPC 1860,35
act,(A) IPC 1860,act,IPC 1860,35
act,"(r),3(1) (s) IPC 1860",act,"SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",35
act,(B) IPC 1860,act,"ARMS ACT, 1959",35
act,"(D) INDIAN MOTOR VEHICLES ACT, 1988",act,THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020,35
crime_head,CONSUMER,district,Belagavi City,35
crime_head,IMMORAL TRAFFIC,district,Belagavi City,35
crime_head,ARMS ACT 1959,district,Belagavi,35
crime_head,FALSE EVIDENCE,district,Bengaluru City,35
crime_head,ANIMAL,district,Dakshina Kannada,35
crime_head,IMMORAL TRAFFIC,district,Davanagere,35
crime_head,COMMUNAL / RELIGION,district,Dharwad,35
crime_head,PUBLIC SAFETY,district,Gadag,35
