act,section,count
"(a) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",20(a),1
"(r),3(1)(s),3(1) (F),3(2)(va) The SC & ST (Prevention of Atrocities) Amendment Act 2015",3(1),1
(w)(i) IPC 1860,354(B),1
"(n),363,376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(r) (s),3(1)(r)(s)(2)(va) IPC 1860",506,1
"(A) EXPLOSIVE ACT, 1884",5,1
(II) IPC 1860,376(L),1
"(r),3(1)(s),3(1)(w)(1),3(2)(va) IPC 1860",325,1
"(f),376(2)(h),376(2)(I),376(2)(J),376(2)(k),376(2)(n),34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"(f),376(2)(h),376(2)(I),376(2)(J),376(2)(k),376(2)(n),34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(J),1
"(II),5(l),5(m),5(n),5(Q) Prohibition of Child Marriage Act 2006",9,1
"(II),5(l),5(m),5(n),5(Q) Prohibition of Child Marriage Act 2006",10,1
"(II),5(l),5(m),5(n),5(Q) Prohibition of Child Marriage Act 2006",11,1
"(r),3(1)(s),3(1)(w)(i)(ii) IPC 1860",326,1
"(n),363,344 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(J),1
"(II),5(L),6,17 Prohibition of Child Marriage Act 2006",9,1
"(II),5(L),6,17 Prohibition of Child Marriage Act 2006",10,1
"(a),15,32(1),38 IPC 1860",328,1
"(a),15,32(1),38 IPC 1860",269,1
"(a),15,32(1),38 IPC 1860",270,1
"(n),366(A) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",17,1
(2) INDIAN ELECTRICITY ACT (AMEND.) 2003,135(1),1
"(vii),3 (2)(v) IPC 1860",34,1
"(vii),3 (2)(v) IPC 1860",201,1
"(vii),3 (2)(v) IPC 1860",302,1
"(vii),3 (2)(v) IPC 1860",342,1
"(r),3(1)(s),3(1)(f),3(1)(g),3(2)(va) IPC 1860",34,1
"(n),376(2)(L) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
(a)(b) IPC 1860,338,1
"(II),5(K),5(L),6 IPC 1860",376(2),1
"(w),3(2)(va) The SC & ST (Prevention of Atrocities) Amendment Act 2015",3(1),1
"(n),363,366(A) The SC & ST (Prevention of Atrocities) Amendment Act 2015",3(1),1
"(w),3(2)(va) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(L),1
"(r),3(1)(s) INDIAN ARMS ACT, 1959",30,1
"(B),505(2) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(1),1
"(u),3(1)(v) INFORMATION TECHNOLOGY ACT 2000",66(E),1
"(u),3(1)(v) INFORMATION TECHNOLOGY ACT 2000",71,1
"WILD LIFE (PROTECTION) ACT, 1972",34,1
"(i) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",3(1),1
(w)(1) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,9(e),1
(w)(1) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,10,1
"(n),118 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(L),1
"(n),118 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",17,1
"(s),3(1)(r) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",0,1
"(n),506,450 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(J),1
-ii Indian Electricity Act 1956,59,1
-ii INDIAN ELECTRICITY ACT (AMEND.) 2003,146,1
-ii INDIAN ELECTRICITY ACT (AMEND.) 2003,148,1
"(s),3(1)(w) IPC 1860",324,1
(za) IPC 1860,506,1
(za) IPC 1860,326,1
"(2) (b),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"(2) (b),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(m),1
"(r),3(1)(s),3(1)(T) IPC 1860",448,1
"(r),3(1)(s),3(1)(T) IPC 1860",323,1
"(r),3(1)(s),3(1)(T) IPC 1860",354,1
"(r),3(1)(s),3(1)(T) IPC 1860",427,1
"(i)(n),376(2)(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(i)(n),376(2)(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"(n),468,376(2)(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(L),1
"(5a),3(1) (W) (I),3(1) (r) IPC 1860",448,1
"(5a),3(1) (W) (I),3(1) (r) IPC 1860",323,1
"(5a),3(1) (W) (I),3(1) (r) IPC 1860",354,1
"(5a),3(1) (W) (I),3(1) (r) IPC 1860",34,1
"(5a),3(1) (W) (I),3(1) (r) IPC 1860",354(A),1
"(W) (I),3(1) (r) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",3(2),1
KARNATAKA ELECTRICITY REFORM ACT 1999,126,1
"(r),3(1) (s),3(2)(5a) The SC & ST (Prevention of Atrocities) Amendment Act 2015",3(2),1
"(v-a),3(1)(f),3(1)(r) IPC 1860",504,1
"(v-a),3(1)(f),3(1)(r) IPC 1860",506,1
"(v-a),3(1)(f),3(1)(r) IPC 1860",323,1
"(v-a),3(1)(f),3(1)(r) IPC 1860",354,1
"(v-a),3(1)(f),3(1)(r) IPC 1860",34,1
"(r),3(1) (s),3(2)(5a) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(2),1
"(w),3(2)(va) IPC 1860",324,1
"(n),34,363,366(A),343 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"(n),34,363,366(A),343 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(r) (s),3(1)(w)(i),3(2)(va) IPC 1860",504,1
"(r) (s),3(1)(w)(i),3(2)(va) IPC 1860",34,1
"(n),506,448 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(w)(i),3(2)(va) IPC 1860",417,1
"(w)(i),3(2)(va) IPC 1860",450,1
"(w)(i),3(2)(va) IPC 1860",376(3),1
"(r) (s),3(2)(va),3(1)(s),3(1)(g),3(1)(f),3(1)(r) IPC 1860",504,1
(va) IPC 1860,144,1
(va) IPC 1860,212,1
"(r),3(1)(s),3(1)(g),3(1)(f),3(2)(va) IPC 1860",447,1
"(i)(n),376(3),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",8,1
"(i)(n),376(3),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",12,1
"(I),344,366,376(3) THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",9,1
"(r) (s),3(2)(va),3(1)(s),3(1)(r) IPC 1860",447,1
"(r) (s),3(2)(va),3(1)(s),3(1)(r) IPC 1860",504,1
"(r),3(1)(s),0,3(2)(va) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",8,1
"(s),3(1)(r),3(2)(va) IPC 1860",143,1
"(s),3(1)(r),3(2)(va) IPC 1860",147,1
"(s),3(1)(r),3(2)(va) IPC 1860",327,1
"(s),3(1)(r),3(2)(va) IPC 1860",149,1
"(i),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",8,1
"(i),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",11,1
"(1),12 IPC 1860",366,1
"(n),343 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(L),1
"(D) INDIAN MOTOR VEHICLES ACT, 1988",134(a&b),1
"(vii),3(1)(r)(s),3(1) (W) (I) The SC & ST (Prevention of Atrocities) Amendment Act 2015",3(2),1
"(f),366(A),366 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(r) (s),3(1)(w)(i) IPC 1860",326,1
"A,376(2)(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",12,1
"A,376(2)(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",10,1
"A,376(2)(i)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",8,1
"NEGOTIABLE INSTRUMENTS ACT, 1881",156,1
CHILD MARRIAGE RESTRAINT ACT,20,1
"INDIAN MOTOR VEHICLES ACT, 1988",70(2),1
(A) INDIAN ELECTRICITY ACT (AMEND.) 2003,140,1
"(r),3(1)(s),3(2)(V),3(1)(w)(i)(ii) IPC 1860",354(A),1
"(r),3(1)(s),3(2)(V),3(1)(w)(i)(ii) IPC 1860",354(B),1
"(r),3(1)(s),3(2)(V),3(1)(w)(i)(ii) IPC 1860",324,1
"(r),3(1)(s),3(2)(V),3(1)(w)(i)(ii) IPC 1860",326,1
"B,341,506,511,376 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",8,1
"B,341,506,511,376 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",10,1
"(w)(i)(ii),3(2)(V) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(n),363,366(A) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",8,1
"(II),5(L),5(p),6(1) CHILD MARRIAGE RESTRAINT ACT",9,1
"(r),3(1)(s),3(2)(v-a),3(I) IPC 1860",354(B),1
"(r),3(1)(s),3(2)(v-a),3(I) IPC 1860",506,1
"(r)(s),3(1)(w)(i),3(2)(v-a),3(2)(V) IPC 1860",304,1
"(r)(s),3(1)(w)(i),3(2)(v-a) IPC 1860",148,1
"(r),3(1)(s),3(1)(w) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",17,1
"(w)(i),3(2)(v-a),3(1)(w)(i)(ii) IPC 1860",406,1
"(10),3(1)(s),3(1)(r),3(2)(5) IPC 1860",326,1
"(C) ESSENTIAL COMMODITIES ACT, 1955",7,1
"(C) ESSENTIAL COMMODITIES ACT, 1955",3,1
"(r),3(1)(s),3(2)(v-a),3(I) IPC 1860",324,1
"(f),376(2)(I),376(2)(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(f),376(2)(I),376(2)(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",8,1
"(f),376(2)(I),376(2)(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",12,1
"(1) (w) (ii) SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(2),1
(C) IPC 1860,285,1
"(b),9B(2),9B(3)(b) EXPLOSIVE SUBSTANCES ACT, 1908",7,1
"(r),3(1)(s),3(1)(w)(i),3(2)(v-a),3(2)(V) IPC 1860",312,1
"(n),494,504,34 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(1),1
"(L),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"(L),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",10,1
"(s),3(1)(w),3(2)(v-a),3(1)(r) IPC 1860",326,1
"(v-a),3(2)(V),3(1)(s),3(1)(r) DOWRY PROHIBITION ACT, 1961",4,1
"(v-a),3(2)(V),3(1)(s),3(1)(r) DOWRY PROHIBITION ACT, 1961",3,1
"(B),149 KARNATAKA OPEN PLACE DISFIGUREMENT ACT 1951 & 1981",3,1
"(T),3(2)(v-a) INFORMATION TECHNOLOGY ACT 2008",67(A),1
"(r),3(1)(s),3(2)(V),3(1)(w)(i) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
FOOD SAFETY AND STANDARDS ACT-2006,53,1
FOOD SAFETY AND STANDARDS ACT-2006,58,1
"(n),420 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(1),1
(10) IPC 1860,395,1
(V) IPC 1860,458,1
(10) IPC 1860,458,1
"(r),3(1)(s),3(2)(V) IPC 1860",511,1
"(r),3(1) (s) IPC 1860",43,1
"(V),3(1)(s),3(1)(r) IPC 1860",148,1
"(2),3(1)(3),3(1)(10)(11),3(1)(14) IPC 1860",148,1
"(2),3(1)(3),3(1)(10)(11),3(1)(14) IPC 1860",326,1
"(ii),507,506,504,509 INFORMATION TECHNOLOGY ACT 2000",66(A),1
IA IPC 1860,420,1
"(i)(n),376(2)(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"(r),3(1)(w),3(2)(v-a),3(2)(V) IPC 1860",417,1
"(B),505(2) PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984",3,1
"(r),3(1)(s) The Karnataka Protection of Right to Freedom of Religion Ordinance, 2022",5,1
"(r) (s),3(1)(w) IPC 1860",148,1
"(r) (s),3(1)(w) IPC 1860",324,1
"(II),24(F) IPC 1860",427,1
"(2),3(V),3(2)(V) IPC 1860",120B,1
"(2),3(V),3(2)(V) IPC 1860",34,1
Indian Electricity Act 1956,45,1
"(V),3(1)(s),3(1)(r),3(i)(ii) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",0,1
"(w)(i)(ii),3(1)(s),3(1)(r) IPC 1860",143,1
"(w)(i)(ii),3(1)(s),3(1)(r) IPC 1860",147,1
"(w)(i)(ii),3(1)(s),3(1)(r) IPC 1860",504,1
"(w)(i)(ii),3(1)(s),3(1)(r) IPC 1860",506,1
"(w)(i)(ii),3(1)(s),3(1)(r) IPC 1860",149,1
"(w)(i)(ii),3(1)(s) IPC 1860",143,1
"(w)(i)(ii),3(1)(s) IPC 1860",147,1
"(w)(i)(ii),3(1)(s) IPC 1860",148,1
"(w)(i)(ii),3(1)(s) IPC 1860",323,1
"(w)(i)(ii),3(1)(s) IPC 1860",324,1
"(w)(i)(ii),3(1)(s) IPC 1860",354(B),1
"(w)(i)(ii),3(1)(s) IPC 1860",504,1
"(w)(i)(ii),3(1)(s) IPC 1860",506,1
"(w)(i)(ii),3(1)(s) IPC 1860",149,1
"(r),3(1)(s),3(1)(w),3(2)(V),3(2)(v-a) IPC 1860",323,1
"(r),3(1)(s),3(1)(w),3(2)(V),3(2)(v-a) IPC 1860",149,1
"(n),376(3),149 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",0,1
"(n),376(3),149 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(2),1
(V) IPC 1860,202,1
"A Juvenile Justice (Care and Protection of Children) Act, 2015",75,1
"(v-a) RELIGIOUS INSTITUTIONS (PREVENTION OF MISUSE) ACT, 1988",7,1
"(v-a) RELIGIOUS INSTITUTIONS (PREVENTION OF MISUSE) ACT, 1988",3,1
"(n),376AB,376(3),34,366,376C,323,114,366(A) Juvenile Justice (Care and Protection of Children) Act, 2015",75,1
"(n),376AB,376(3),34,366,376C,323,114,366(A) Juvenile Justice (Care and Protection of Children) Act, 2015",77,1
"(r),3(1)(s),3(1)(w)(i)(ii),3(2)(V),3(2)(v-a) IPC 1860",385,1
"(12),3(2)(5),3(1)(x)(xii),3(2)(V) IPC 1860",417,1
"KARNATAKA POLICE ACT, 1963",100,1
(10) IPC 1860,506(2),1
"(x),3(2)(5) IPC 1860",354(B),1
(9) IPC 1860,420,1
(9) IPC 1860,34,1
"(2),341,504,506,114,34 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(1),1
KARNATAKA STAMP ACT 1957,62,1
KARNATAKA STAMP ACT 1957,64,1
"PREVENTION OF INSULT TO NATIONAL HONOURS ACT, 1971",2(h),1
"ENVIRONMENT (PROTECTION) ACT, 1986",25,1
"(2),131 IPC 1860",171E,1
"(r),3(1)(s),3(2)(V),3(1)(w)(i)(ii) IPC 1860",498A,1
"(r),3(1)(s),3(2)(V),3(1)(w)(i)(ii) IPC 1860",376D,1
"B,506,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"B,506,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"B,506,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",10,1
"(1),354(D)(2),509 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",11(iv),1
"(1),354(D)(2),509 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",12,1
"(n),354(B) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",17,1
"(i)(n),506,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(i)(n),506,34 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"(V),3(1)(w)(i)(ii) Prohibition of Child Marriage Act 2006",9,1
"(V),3(1)(w)(i)(ii) Prohibition of Child Marriage Act 2006",10,1
"(II),12 CHILD MARRIAGE RESTRAINT ACT",9,1
"(n),313,323,324,448,504,506,149 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(n),313,323,324,448,504,506,149 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"(n),313,323,324,448,504,506,149 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",17,1
"(i)(n),363,376(2)(J),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(L),1
"(i)(n),363,376(2)(J),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(J),1
"(i)(n),376(J) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(k),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(k),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"(f),3(1)(g),3(1)(r),3(1)(s),3(1)(w)(i)(ii),3(2)(V) IPC 1860",324,1
"(f),3(1)(g),3(1)(r),3(1)(s),3(1)(w)(i)(ii),3(2)(V) IPC 1860",323,1
"(A),181(3) IPC 1860",338,1
"(2),3(2)(5),3(1)(10) IPC 1860",368,1
"(2),3(2)(5),3(1)(10) IPC 1860",364,1
"(2),3(2)(5),3(1)(10) IPC 1860",34,1
"(2),3(2)(5),3(1)(10) IPC 1860",195A,1
"(g),3(1) (r) (s) IPC 1860",504,1
"(g),3(1) (r) (s) IPC 1860",34,1
"INDIAN BOILERS ACT, 1923",6(c),1
"INDIAN BOILERS ACT, 1923",6(b),1
"INDIAN BOILERS ACT, 1923",6(a),1
"REPRESENTATION OF PEOPLE ACT, 1951 & 1988",130(1),1
(v-a) CHILD MARRIAGE RESTRAINT ACT,10,1
(v-a) CHILD MARRIAGE RESTRAINT ACT,11,1
"(w)(i),3(2)(v-a) IPC 1860",34,1
(b) IPC 1860,323,1
(b) IPC 1860,448,1
(b) IPC 1860,354(A),1
(b) IPC 1860,354,1
"(v-a),3(1)(s),3(1)(r) IPC 1860",354(B),1
"(w)(i)(ii),3(2)(5) Prohibition of Child Marriage Act 2006",10,1
"(k),376(2)(n) CHILD MARRIAGE RESTRAINT ACT",9,1
/181 IPC 1860,271,1
/181 IPC 1860,269,1
"(u),3(2)(v-a) IPC 1860",504,1
"(u),3(2)(v-a) IPC 1860",505(1),1
"(E),11(1) (D),11(1) (A) INDIAN MOTOR VEHICLES ACT, 1988",177,1
"(d),4(1)(c),4(1) (b),4(1)(a),7(1)(b),7(1)(a),3(4),3(3),3(2),3(1)(c),3(1)(b),3(1)(a) ESSENTIAL COMMODITIES ACT, 1955",3,1
"(d),4(1)(c),4(1) (b),4(1)(a),7(1)(b),7(1)(a),3(4),3(3),3(2),3(1)(c),3(1)(b),3(1)(a) ESSENTIAL COMMODITIES ACT, 1955",7,1
"(W) (I),3(1)(r)(s) IPC 1860",448,1
"(r),3(1)(s),3(1)(w)(i)(ii) IPC 1860",354(A),1
"(r),3(1)(s),3(2)(V) IPC 1860",448,1
"(r)(s),3(2)(v-a),3(2)(V) IPC 1860",326,1
"(r)(s),3(2)(v-a),3(2)(V) IPC 1860",335,1
"(X),3(2)(5) IPC 1860",326,1
(5) INDIAN ELECTRICITY ACT (AMEND.) 2003,139,1
"(r),3(1)(s),3(X),3(1)(v),3(1)(w)(i)(ii),3(I),3(XI) IPC 1860",506,1
"(r),3(1)(s),3(X),3(1)(v),3(1)(w)(i)(ii),3(I),3(XI) IPC 1860",504,1
"(r),3(1)(s),3(X),3(1)(v),3(1)(w)(i)(ii),3(I),3(XI) IPC 1860",323,1
"(r),3(1)(s),3(X),3(1)(v),3(1)(w)(i)(ii),3(I),3(XI) IPC 1860",324,1
"(r),3(1)(s),3(X),3(1)(v),3(1)(w)(i)(ii),3(I),3(XI) IPC 1860",326,1
"(r),3(1)(s),3(X),3(1)(v),3(1)(w)(i)(ii),3(I),3(XI) IPC 1860",354,1
"(2) PREVENTION OF CRUELTY TO ANIMALS ACT, 1960",12,1
"(T),3(1)(u),3(1)(v) IPC 1860",147,1
"(T),3(1)(u),3(1)(v) IPC 1860",143,1
"(r),3(1)(s),3(1)(u),3(1)(T),3(1)(v) IPC 1860",427,1
"(r),3(1)(s),3(1)(u),3(1)(T),3(1)(v) IPC 1860",37,1
(d) IPC 1860,149,1
(2) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,9,1
(2) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,8,1
(2) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,11,1
"(v),3(1) (s),3(2)(v-a) IPC 1860",114,1
"INDIAN MOTOR VEHICLES ACT, 1988",7,1
"INDIAN MOTOR VEHICLES ACT, 1988",30,1
"INDIAN MOTOR VEHICLES ACT, 1988",18(3),1
"(n),366 SC AND THE ST (PREVENTION OF ATTROCITIES) ACT, 1989",3(2),1
"(II),6(1) Prohibition of Child Marriage Act 2006",9,1
(I) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,6(1),1
"(n),363,201 THE PROHIBITION OF CHILD MARRIAGE (KARNATAKA AMENDMENT) ACT, 2016",9,1
(3) IPC 1860,376,1
(3) IPC 1860,306,1
(3) IPC 1860,149,1
(3) IPC 1860,305,1
(3) IPC 1860,201,1
"(i)(n),114,149 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"(i)(n),114,149 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"(i)(n),114,149 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",8,1
"(i)(n),114,149 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",12,1
"(i)(n),114,149 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",17,1
"(A),218 IPC 1860",338,1
"(A),146 IPC 1860",338,1
"(r),3(1)(s),3(2)(V) ARMS ACT, 1959",25,1
"(A),181,5(1),3(1) IPC 1860",338,1
"(11) PROTECTION OF CIVIL RIGHTS ACT,1955",3,1
"(11) PROTECTION OF CIVIL RIGHTS ACT,1955",7(c),1
"A,302,201 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4,1
"A,302,201 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"A,302,201 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",8,1
"(x),3(1)(xi) IPC 1860",341,1
(va) IPC 1860,452,1
(r) (iii) IPC 1860,509,1
"(s),3(2)(5a) The SC & ST (Prevention of Atrocities) Amendment Act 2015",3(2),1
(xii) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,4,1
(xii) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,3,1
KARNATAKA FOREST RULES,166,1
(va) IPC 1860,195A,1
"WILD LIFE (PROTECTION) ACT, 1972",44(b),1
"WILD LIFE (PROTECTION) ACT, 1972",41,1
"(i),341 INDIAN MOTOR VEHICLES ACT, 1988",181,1
"(i),341 INDIAN MOTOR VEHICLES ACT, 1988",190(2),1
"(i),341 INDIAN MOTOR VEHICLES ACT, 1988",115,1
"(i),341 INDIAN MOTOR VEHICLES ACT, 1988",3(1),1
"(i),341 INDIAN MOTOR VEHICLES ACT, 1988",146,1
"(i),341 INDIAN MOTOR VEHICLES ACT, 1988",196,1
"(lll),5(1) IPC 1860",338,1
"(l),3(1)(w) IPC 1860",376(2),1
"(i),376(2)(f) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",6,1
"(r)(s),3(2)(5a) The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015",3(1),1
"(W) (I),3(2)(5a) The SC & ST (Prevention of Atrocities) Amendment Act 2015",3,1
"(C),505(2),506,509 INFORMATION TECHNOLOGY ACT 2000",67,1
"A,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4(2),1
"A,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(G),1
"A,506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",14,1
"(6),3(1)(x) IPC 1860",504,1
"(6),3(1)(x) IPC 1860",506,1
"(w)(i)(ii),3(2)(va) IPC 1860",354A(1),1
(v) The SC & ST (Prevention of Atrocities) Amendment Act 2015,3(1),1
"(y),3(2)(va),3(1)(z),3(1)(s) IPC 1860",504,1
"(ii) A,8(c) NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985",21A,1
"(2)(v),3(2)(va) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",11(iv),1
"(2)(v),3(2)(va) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",12,1
"(w)(i),3(2)(va) IPC 1860",354(D),1
"(va),3 (2)(v),3(1)(w)(i),3 (1) (w) (ii) IPC 1860",376(2),1
"(n),376(2)(f),376AB PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(J),1
(II) IPC 1860,120B,1
(II) IPC 1860,204,1
(II) IPC 1860,376D,1
A PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012,5(G),1
"(A),11(1) (D) INDIAN MOTOR VEHICLES ACT, 1988",187,1
"(A),11(1) (D) INDIAN MOTOR VEHICLES ACT, 1988",133,1
"(ii) B,8(c) INDIAN MOTOR VEHICLES ACT, 1988",192(A),1
"(ii) B,8(c) INDIAN MOTOR VEHICLES ACT, 1988",66,1
"(1A),42,4(1A),3(1),44 IPC 1860",379,1
"(A),177 KARNATAKA MOTOR VEHICLE RULE",230(A),1
(L) IPC 1860,34,1
"(f),376(2)(n),376(3),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(j),1
"(iv),509 INFORMATION TECHNOLOGY ACT 2000",67(A),1
"(B),203,153 INFORMATION TECHNOLOGY ACT 2008",66(D),1
"(I),506,376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",4(2),1
"(n),506 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012",5(l),1
"(r),3(2)(V),3(2)(v-a),3(1)(s) IPC 1860",504,1
(L) KARNTAKA PREVENTION OF COW SLANGHTER & CATTLE PREVENTION ACT-1964,12,1
"(r),3(1)(s),3(2)(V),3(2)(v-a) IPC 1860",342,1
"(r),3(1) (s),3(2)(v-a),3(2)(V) IPC 1860",427,1
(ii)(A) IPC 1860,166(a),1
(10)(11) IPC 1860,506(2),1
IPC 1860,51(1),1
(w)(i) The SC & ST (Prevention of Atrocities) Amendment Act 2015,3(2),1
"(r),3(1)(s),3(2),3(2)(va) IPC 1860",109,1
